                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.81522,                0.48564,                  1.027,                0.83267,                0.75532,                0.82678,                0.57799,                 1.1933,                0.65849,                 1.1947,                0.00505,                0.00505,                0.00505
                     52,                0.81211,                0.48501,                 1.0271,                0.83837,                0.75829,                0.83058,                 0.5816,                 1.1917,                0.65373,                  1.194,               0.004951,               0.004951,               0.004951
                     53,                 0.8237,                0.48914,                 1.0316,                0.84383,                0.75856,                0.82946,                0.58314,                 1.1882,                0.65659,                 1.1897,               0.004852,               0.004852,               0.004852
                     54,                 0.8152,                0.48684,                 1.0308,                0.82482,                0.76294,                0.83148,                0.58332,                 1.1902,                 0.6546,                 1.1927,               0.004753,               0.004753,               0.004753
                     55,                0.80049,                0.47843,                 1.0221,                0.84584,                0.75237,                 0.8312,                0.58417,                 1.1849,                0.65336,                 1.1896,               0.004654,               0.004654,               0.004654
                     56,                0.79525,                0.47685,                 1.0205,                0.83755,                0.76338,                0.82859,                0.58349,                 1.1856,                0.65207,                 1.1882,               0.004555,               0.004555,               0.004555
                     57,                0.80503,                0.47702,                 1.0222,                0.83332,                0.76418,                0.83034,                0.58451,                 1.1859,                0.65106,                 1.1878,               0.004456,               0.004456,               0.004456
                     58,                0.80015,                0.47526,                 1.0191,                0.83628,                0.75633,                0.82792,                0.58271,                 1.1838,                0.64848,                 1.1875,               0.004357,               0.004357,               0.004357
                     59,                0.80266,                0.47686,                 1.0276,                0.83927,                0.76031,                0.83112,                0.58708,                 1.1812,                0.64345,                 1.1862,               0.004258,               0.004258,               0.004258
                     60,                0.79033,                0.46931,                 1.0158,                0.85683,                0.75661,                0.83365,                0.58816,                 1.1768,                0.64049,                 1.1837,               0.004159,               0.004159,               0.004159
                     61,                0.78355,                 0.4675,                 1.0127,                0.83992,                0.76238,                0.83322,                0.58703,                 1.1802,                0.64247,                  1.185,                0.00406,                0.00406,                0.00406
                     62,                0.78278,                0.46617,                 1.0132,                 0.8402,                0.76262,                0.83308,                0.58723,                 1.1808,                0.64298,                 1.1835,               0.003961,               0.003961,               0.003961
                     63,                0.78505,                0.46572,                  1.012,                0.83721,                0.76501,                0.83503,                 0.5895,                 1.1773,                0.64309,                 1.1826,               0.003862,               0.003862,               0.003862
                     64,                0.76841,                0.45394,                 1.0057,                0.84182,                0.76765,                0.83618,                0.59017,                  1.173,                0.63779,                 1.1814,               0.003763,               0.003763,               0.003763
                     65,                0.77192,                 0.4611,                 1.0135,                  0.833,                0.77775,                0.83737,                0.59125,                 1.1734,                0.63621,                 1.1821,               0.003664,               0.003664,               0.003664
                     66,                 0.7528,                0.44899,                 1.0009,                 0.8302,                0.77297,                0.83586,                0.59103,                 1.1736,                0.63654,                 1.1814,               0.003565,               0.003565,               0.003565
                     67,                0.76061,                0.45359,                 1.0057,                0.82575,                0.77965,                0.83678,                0.59257,                 1.1744,                0.63558,                 1.1804,               0.003466,               0.003466,               0.003466
                     68,                0.76071,                0.45503,                 1.0059,                0.83121,                0.77548,                0.83678,                0.59087,                 1.1725,                0.63454,                 1.1803,               0.003367,               0.003367,               0.003367
                     69,                0.74583,                0.44483,                0.99341,                0.84033,                0.76753,                0.83692,                0.59049,                 1.1723,                0.63492,                 1.1784,               0.003268,               0.003268,               0.003268
                     70,                0.75148,                0.45136,                 1.0025,                0.82749,                  0.776,                0.83794,                0.59274,                 1.1687,                 0.6336,                 1.1773,               0.003169,               0.003169,               0.003169
                     71,                0.75181,                 0.4458,                 1.0026,                 0.8406,                 0.7676,                0.83727,                 0.5935,                 1.1666,                0.63167,                 1.1765,                0.00307,                0.00307,                0.00307
                     72,                0.75464,                0.44613,                 1.0014,                0.83668,                 0.7728,                0.83696,                0.59215,                 1.1668,                0.63058,                 1.1759,               0.002971,               0.002971,               0.002971
                     73,                0.75758,                 0.4483,                 1.0095,                0.83845,                0.76913,                 0.8382,                0.59223,                 1.1676,                0.62991,                 1.1763,               0.002872,               0.002872,               0.002872
                     74,                0.74981,                0.44549,                 1.0034,                0.84136,                0.76916,                0.83927,                0.59385,                 1.1667,                 0.6288,                 1.1756,               0.002773,               0.002773,               0.002773
                     75,                 0.7401,                0.43924,                0.99461,                0.83348,                0.77023,                0.83871,                0.59375,                 1.1654,                0.62787,                 1.1751,               0.002674,               0.002674,               0.002674
                     76,                 0.7353,                 0.4371,                0.99471,                0.83364,                0.77292,                0.83988,                0.59526,                 1.1658,                0.62613,                  1.175,               0.002575,               0.002575,               0.002575
                     77,                0.73241,                0.43439,                0.99443,                0.82302,                0.78313,                0.84125,                0.59565,                 1.1646,                0.62559,                 1.1738,               0.002476,               0.002476,               0.002476
                     78,                0.73159,                0.43572,                0.99243,                0.83993,                0.76838,                0.84069,                0.59583,                 1.1643,                0.62492,                 1.1734,               0.002377,               0.002377,               0.002377
                     79,                0.72854,                0.43142,                0.98609,                0.82105,                0.78503,                0.84129,                0.59477,                 1.1643,                0.62371,                 1.1738,               0.002278,               0.002278,               0.002278
                     80,                0.71733,                0.42558,                  0.989,                0.83518,                 0.7771,                0.84215,                0.59608,                 1.1625,                  0.623,                 1.1733,               0.002179,               0.002179,               0.002179
                     81,                0.72256,                0.43043,                0.98607,                 0.8278,                0.78354,                0.84198,                0.59708,                 1.1609,                0.62322,                 1.1719,                0.00208,                0.00208,                0.00208
                     82,                0.72418,                0.43264,                0.98755,                0.84256,                0.77038,                0.84217,                0.59676,                 1.1601,                0.62319,                 1.1713,               0.001981,               0.001981,               0.001981
                     83,                0.72325,                0.43029,                 0.9888,                0.83938,                0.77496,                0.84199,                 0.5971,                 1.1593,                0.62275,                 1.1709,               0.001882,               0.001882,               0.001882
                     84,                0.70984,                0.42264,                0.97943,                0.83725,                0.77764,                0.84351,                0.59728,                 1.1575,                0.62133,                 1.1701,               0.001783,               0.001783,               0.001783
                     85,                0.70327,                0.42094,                0.98127,                0.83374,                0.78731,                0.84378,                0.59867,                 1.1573,                0.62018,                 1.1699,               0.001684,               0.001684,               0.001684
                     86,                0.69705,                0.41761,                0.97726,                0.82916,                0.78931,                0.84355,                0.59839,                 1.1576,                0.61975,                 1.1699,               0.001585,               0.001585,               0.001585
                     87,                0.69371,                0.41462,                0.97331,                0.82927,                0.78828,                0.84335,                 0.5977,                 1.1568,                0.61911,                 1.1695,               0.001486,               0.001486,               0.001486
                     88,                0.70801,                0.42174,                0.98355,                0.82731,                0.78916,                0.84317,                0.59753,                  1.156,                0.61897,                 1.1689,               0.001387,               0.001387,               0.001387
                     89,                0.69231,                0.41413,                0.97357,                0.82714,                0.78926,                0.84406,                0.59869,                 1.1553,                0.61843,                 1.1683,               0.001288,               0.001288,               0.001288
                     90,                0.68121,                0.40757,                0.97126,                0.82819,                0.78495,                0.84385,                0.59862,                 1.1555,                0.61806,                 1.1684,               0.001189,               0.001189,               0.001189
                     91,                 1.2155,                0.64972,                 1.2121,                0.84237,                0.77442,                0.84433,                0.60092,                 1.1543,                0.61693,                 1.1671,                0.00109,                0.00109,                0.00109
                     92,                 1.1979,                0.63959,                 1.1985,                0.84275,                0.77624,                0.84514,                0.60188,                 1.1531,                0.61528,                  1.166,               0.000991,               0.000991,               0.000991
                     93,                 1.1987,                0.64314,                 1.2067,                0.84211,                0.77636,                0.84566,                0.60207,                 1.1514,                0.61364,                 1.1651,               0.000892,               0.000892,               0.000892
                     94,                 1.1859,                0.63841,                 1.1933,                0.83395,                0.78436,                0.84626,                0.60319,                 1.1499,                0.61249,                 1.1641,               0.000793,               0.000793,               0.000793
                     95,                 1.1943,                0.63718,                 1.2035,                0.83285,                0.78594,                0.84694,                0.60364,                 1.1489,                  0.611,                 1.1634,               0.000694,               0.000694,               0.000694
                     96,                  1.181,                0.63246,                 1.1908,                0.83348,                0.78679,                0.84781,                0.60435,                 1.1482,                0.60953,                 1.1628,               0.000595,               0.000595,               0.000595
                     97,                 1.1681,                0.62757,                 1.1873,                0.83677,                0.78526,                0.84852,                0.60477,                 1.1472,                0.60915,                 1.1623,               0.000496,               0.000496,               0.000496
                     98,                 1.1738,                 0.6274,                 1.1841,                0.83933,                0.78367,                0.84845,                0.60524,                 1.1463,                0.60839,                 1.1617,               0.000397,               0.000397,               0.000397
                     99,                 1.1655,                0.62091,                 1.1841,                0.83867,                0.78587,                0.84907,                0.60569,                 1.1453,                0.60762,                 1.1612,               0.000298,               0.000298,               0.000298
                    100,                 1.1657,                0.62303,                 1.1836,                0.83852,                0.78957,                0.84932,                0.60594,                 1.1444,                0.60657,                 1.1607,               0.000199,               0.000199,               0.000199
